date,mktrf,smb,hml,rmw,cma,rf,umd
21/03/2019,0.011100,0.001700,-0.012300,0.003200,-0.003400,0.00009,-0.000200
22/03/2019,-0.021700,-0.015700,-0.000600,0.005500,0.006000,0.00009,0.010100
25/03/2019,-0.000500,0.006000,-0.002700,0.002000,0.000400,0.00009,0.006500
26/03/2019,0.007600,0.002300,0.004600,0.000500,0.001900,0.00009,-0.004600
27/03/2019,-0.005000,0.001700,0.004900,0.007600,0.001000,0.00009,-0.003700
28/03/2019,0.004000,0.003500,0.000200,-0.001300,-0.000800,0.00009,-0.001800
29/03/2019,0.006600,-0.002800,-0.009200,0.002100,-0.001700,0.00009,0.000000
01/04/2019,0.011900,-0.001900,0.009900,-0.000600,-0.003100,0.00010,-0.009700
02/04/2019,-0.000500,-0.001800,-0.004400,-0.003800,-0.005000,0.00010,0.001900
03/04/2019,0.002700,0.002300,-0.003900,0.001400,-0.004000,0.00010,-0.001000
04/04/2019,0.001900,0.003500,0.009200,0.006400,0.002200,0.00010,-0.013200
05/04/2019,0.005200,0.004900,-0.000800,-0.002800,0.001000,0.00010,-0.006600
08/04/2019,0.000800,-0.003100,0.001000,0.002700,-0.000300,0.00010,-0.002000
09/04/2019,-0.006500,-0.006000,-0.001400,0.001200,-0.000400,0.00010,0.009900
10/04/2019,0.004800,0.009500,-0.001000,0.000900,-0.001100,0.00010,-0.002000
11/04/2019,0.000000,-0.002700,0.004100,0.000400,0.001100,0.00010,-0.001100
12/04/2019,0.006500,-0.003600,0.006400,0.005300,-0.002500,0.00010,-0.010900
15/04/2019,-0.000900,-0.002600,-0.005400,0.003600,0.000800,0.00010,0.008100
16/04/2019,0.001300,0.002400,0.007000,-0.000800,-0.001300,0.00010,-0.008800
17/04/2019,-0.003200,-0.005300,0.008300,0.011300,-0.002700,0.00010,-0.008300
18/04/2019,0.001100,-0.002800,-0.005100,0.001500,-0.002100,0.00010,-0.000500
22/04/2019,0.001100,-0.004800,-0.005500,-0.005200,-0.001600,0.00010,0.002400
23/04/2019,0.009700,0.006600,-0.004900,-0.001100,-0.004300,0.00010,0.002500
24/04/2019,-0.002300,0.003100,-0.000800,0.006100,0.000300,0.00010,0.004300
25/04/2019,-0.001400,-0.007900,-0.001900,-0.006400,-0.002400,0.00010,0.013700
26/04/2019,0.005300,0.004700,0.000700,-0.000800,-0.001900,0.00010,0.001200
29/04/2019,0.001800,0.001500,0.006400,-0.003800,-0.001500,0.00010,-0.004500
30/04/2019,-0.000400,-0.006800,0.002800,0.001100,0.007000,0.00010,0.003300
01/05/2019,-0.008300,-0.000700,-0.000200,0.003400,-0.000600,0.00009,0.004800
02/05/2019,-0.001600,0.004600,-0.002700,0.000000,0.000500,0.00009,0.004800
03/05/2019,0.011300,0.009300,-0.002700,-0.000100,-0.003400,0.00009,-0.002400
06/05/2019,-0.003900,0.005800,-0.004200,0.000200,0.000600,0.00009,0.002800
07/05/2019,-0.016900,-0.002700,0.005100,0.000200,0.003100,0.00009,0.002700
08/05/2019,-0.002200,-0.002000,-0.003200,-0.000200,0.001800,0.00009,0.001400
09/05/2019,-0.002800,0.000600,0.001200,-0.003500,0.000000,0.00009,0.006100
10/05/2019,0.003500,-0.003300,0.000800,-0.001100,0.002600,0.00009,0.006000
13/05/2019,-0.026700,-0.006700,0.002900,0.002200,0.008200,0.00009,0.009800
14/05/2019,0.009300,0.003400,-0.000200,-0.005500,0.000100,0.00009,-0.005400
15/05/2019,0.005800,-0.001000,-0.009600,0.001300,-0.002900,0.00009,0.003900
16/05/2019,0.009100,-0.004500,-0.003200,-0.001400,-0.002300,0.00009,0.004500
17/05/2019,-0.007300,-0.007600,0.003000,0.000600,0.003100,0.00009,0.004500
20/05/2019,-0.006500,-0.001100,0.007200,0.000600,0.004200,0.00009,0.003600
21/05/2019,0.009000,0.004400,-0.003500,-0.001300,-0.001800,0.00009,-0.006900
22/05/2019,-0.004000,-0.006500,-0.005900,-0.001500,0.002000,0.00009,0.013200
23/05/2019,-0.013700,-0.007200,-0.002700,0.003000,0.002700,0.00009,0.011700
24/05/2019,0.002300,0.005100,0.003100,-0.005000,-0.000300,0.00009,0.000400
28/05/2019,-0.007800,0.002100,-0.006300,0.000100,-0.002600,0.00009,0.010500
29/05/2019,-0.007100,-0.002400,0.004200,-0.001900,0.000100,0.00009,-0.004200
30/05/2019,0.001400,-0.003800,-0.007700,0.002600,-0.000400,0.00009,0.014100
31/05/2019,-0.013700,-0.002300,-0.000900,0.000200,0.004000,0.00009,0.005800
03/06/2019,-0.004000,0.005800,0.016500,0.002800,0.013900,0.00009,-0.006000
04/06/2019,0.023300,0.004900,-0.000200,0.002900,-0.004700,0.00009,-0.011500
05/06/2019,0.007000,-0.010600,-0.009700,0.000600,-0.002000,0.00009,0.016800
06/06/2019,0.005500,-0.010800,0.000100,0.000600,-0.000700,0.00009,0.006600
07/06/2019,0.010400,-0.001400,-0.012000,0.003500,-0.006500,0.00009,0.003700
10/06/2019,0.005300,0.000100,0.000800,0.003900,-0.003600,0.00009,-0.003800
11/06/2019,-0.001200,-0.002000,0.005500,0.004700,0.001800,0.00009,-0.005000
12/06/2019,-0.002000,0.002900,-0.009800,0.000600,0.001000,0.00009,0.014900
13/06/2019,0.005200,0.006800,-0.000400,-0.001200,-0.000600,0.00009,-0.014100
14/06/2019,-0.002700,-0.007400,0.003100,0.002500,0.001400,0.00009,0.009200
17/06/2019,0.001500,0.004800,-0.011200,-0.006600,-0.004200,0.00009,-0.002700
18/06/2019,0.010400,0.001900,0.003300,-0.002500,-0.001900,0.00009,-0.009900
19/06/2019,0.003200,0.000200,-0.005900,-0.002000,0.001700,0.00009,0.007900
20/06/2019,0.008900,-0.004000,-0.002300,-0.001400,-0.001100,0.00009,-0.003700
21/06/2019,-0.002100,-0.004600,-0.000300,-0.001100,0.000200,0.00009,-0.001100
24/06/2019,-0.003400,-0.009000,0.000900,0.006400,-0.000200,0.00009,0.006900
25/06/2019,-0.009800,0.004100,0.007100,-0.001000,0.005600,0.00009,-0.003900
26/06/2019,-0.000600,0.000200,0.002500,0.003700,-0.003900,0.00009,-0.019300
27/06/2019,0.006000,0.014300,-0.000900,-0.003400,-0.002200,0.00009,-0.000400
28/06/2019,0.006800,0.007700,0.006100,-0.004600,0.001100,0.00009,-0.005400
01/07/2019,0.007500,-0.005900,-0.001300,-0.001300,0.000500,0.00009,0.003900
02/07/2019,0.001400,-0.009600,-0.008100,-0.000200,-0.000200,0.00009,0.018300
03/07/2019,0.007800,-0.001300,-0.003300,-0.003500,-0.000500,0.00009,0.002500
05/07/2019,-0.001000,0.003400,0.009100,0.001300,-0.000500,0.00009,-0.002800
08/07/2019,-0.005800,-0.004300,0.000500,0.000400,-0.002600,0.00009,0.006600
09/07/2019,0.001800,-0.002300,-0.004300,-0.006500,-0.001900,0.00009,0.003200
10/07/2019,0.004000,-0.002500,-0.003600,0.001100,-0.000200,0.00009,-0.001100
11/07/2019,0.001900,-0.007700,0.000400,-0.002400,-0.005600,0.00009,0.002700
12/07/2019,0.005300,0.003200,0.004100,0.005900,-0.000900,0.00009,-0.009400
15/07/2019,-0.000400,-0.004700,-0.010700,0.001300,0.002400,0.00009,0.007300
16/07/2019,-0.003200,0.004100,0.001000,0.004400,-0.000200,0.00009,0.000200
17/07/2019,-0.006400,-0.002600,-0.006500,-0.004800,-0.002300,0.00009,0.008700
18/07/2019,0.003500,-0.002700,0.000200,-0.003600,0.003500,0.00009,0.002900
19/07/2019,-0.005600,0.003000,0.008600,0.003700,0.000900,0.00009,-0.010000
22/07/2019,0.002500,-0.005500,-0.004900,-0.001900,-0.000100,0.00009,0.002200
23/07/2019,0.006500,-0.000600,0.008100,0.006600,0.003400,0.00009,-0.008000
24/07/2019,0.006600,0.009200,0.008500,-0.000700,-0.000900,0.00009,-0.007500
25/07/2019,-0.006300,-0.006800,-0.001200,0.001600,0.000500,0.00009,0.015300
26/07/2019,0.008200,0.003300,-0.001900,-0.006100,-0.002500,0.00009,0.002500
29/07/2019,-0.003200,-0.003500,-0.004600,0.003000,0.003800,0.00009,0.004400
30/07/2019,-0.001700,0.014200,0.008900,-0.001700,0.001000,0.00009,-0.013700
31/07/2019,-0.010900,0.002600,0.006100,0.002000,0.005300,0.00009,0.001300
01/08/2019,-0.010400,-0.007600,-0.018900,-0.005500,-0.003000,0.00007,0.024700
02/08/2019,-0.008700,-0.002600,0.000700,0.001400,0.001900,0.00007,0.002200
05/08/2019,-0.030700,0.000500,0.000000,-0.000800,0.002700,0.00007,0.004100
06/08/2019,0.012900,-0.005500,-0.005900,-0.002700,-0.002500,0.00007,0.010400
07/08/2019,0.000700,-0.001000,-0.009100,0.001800,-0.001800,0.00007,0.003700
08/08/2019,0.019700,-0.000300,-0.002300,0.002900,-0.003000,0.00007,0.002600
09/08/2019,-0.007800,-0.005000,-0.002300,-0.004800,-0.000200,0.00007,0.010000
12/08/2019,-0.013200,0.002100,-0.002700,0.001300,0.002400,0.00007,0.005700
13/08/2019,0.014700,-0.003500,-0.005400,0.003500,-0.000400,0.00007,0.000500
14/08/2019,-0.029500,0.000300,-0.005100,-0.003800,0.000100,0.00007,0.013300
15/08/2019,0.001600,-0.006900,-0.005200,-0.000700,-0.004700,0.00007,0.012000
16/08/2019,0.015500,0.006400,0.006000,0.001400,-0.000500,0.00007,-0.010900
19/08/2019,0.011400,0.000300,0.002200,0.003700,-0.000100,0.00007,-0.011600
20/08/2019,-0.007500,0.001800,-0.005000,0.001100,-0.001800,0.00007,0.004300
21/08/2019,0.008500,-0.000300,-0.003000,-0.000300,-0.000100,0.00007,-0.000700
22/08/2019,-0.001000,-0.003500,0.004900,0.002200,0.002600,0.00007,-0.000500
23/08/2019,-0.026600,-0.006000,-0.001700,-0.006400,-0.002400,0.00007,0.009400
26/08/2019,0.010800,-0.000400,-0.001800,0.001900,-0.001500,0.00007,0.004000
